"ID","Sex","Treatment","Familiarity","Host","Status","Experiment","HostStrain","Line","Day","Wt","Pct"
7071,"F","STOCK","FAM","BL6F","Unpassaged","HK68BL6","C57BL/6","Stock",0,19.3,1
7072,"F","STOCK","FAM","BL6F","Unpassaged","HK68BL6","C57BL/6","Stock",0,22,1
10541,"F","1X","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","A",1,22,0.97
10719,"F","1X","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","A",1,19.5,1.01
10725,"F","1X","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","B",1,18.6,1
10554,"F","1X","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","B",1,20.1,0.96
10709,"F","1X","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","C",1,17.3,0.97
10713,"F","1X","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","C",1,17,0.98
10733,"F","1X","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","D",1,19.6,0.98
10717,"F","1X","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","D",1,18.9,0.98
10467,"F","1XP","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","A+B+C+D",1,19.4,0.94
10706,"F","1XP","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","A+B+C+D",1,16.1,0.96
10728,"F","1XP","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","A+B+C+D",1,17.7,0.96
10712,"F","1XP","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","A+B+C+D",1,17.6,0.96
10476,"F","1XP","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","A+B+C+D",1,19,0.95
10589,"F","1XP","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","A+B+C+D",1,19.7,0.93
10708,"F","2X","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","AB",1,18.1,0.96
10542,"F","2X","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","AB",1,24.6,1
10555,"F","2X","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","AB",1,22.1,0.97
10670,"F","2X","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","AB",1,15.9,0.97
10710,"F","2X","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","CD",1,17.2,0.95
10722,"F","2X","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","CD",1,19,0.99
10714,"F","2X","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","CD",1,18.1,1.01
10718,"F","2X","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","CD",1,18.8,0.98
10711,"F","4X","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","ABCD",1,18.5,0.95
10716,"F","4X","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","ABCD",1,16.1,0.94
10543,"F","4X","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","ABCD",1,25.8,0.95
10671,"F","4X","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","ABCD",1,17.4,0.93
10715,"F","4X","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","ABCD",1,17.2,0.96
10466,"F","4X","UNF","BALBF","Passaged","BALBintoBL6","C57BL/6","ABCD",1,20.4,0.97
10659,"F","1X","UNF","BL6F","Passaged","BL6intoBALB","BALB/C","E",1,20.5,0.99
10680,"F","1X","UNF","BL6F","Passaged","BL6intoBALB","BALB/C","E",1,19.4,0.99
10778,"F","1X","UNF","BL6F","Passaged","BL6intoBALB","BALB/C","F",1,23.1,1.03
10786,"F","1X","UNF","BL6F","Passaged","BL6intoBALB","BALB/C","F",1,22.1,0.98
10575,"F","1X","UNF","BL6F","Passaged","BL6intoBALB","BALB/C","G",1,23.4,0.99
10611,"F","1X","UNF","BL6F","Passaged","BL6intoBALB","BALB/C","G",1,22.3,1.01
10787,"F","1X","UNF","BL6F","Passaged","BL6intoBALB","BALB/C","H",1,20.6,1.01
10796,"F","1X","UNF","BL6F","Passaged","BL6intoBALB","BALB/C","H",1,22.3,0.97
10679,"F","1XP","UNF","BL6F","Passaged","BL6intoBALB","BALB/C","E+F+G+H",1,18.7,0.97
10782,"F","1XP","UNF","BL6F","Passaged","BL6intoBALB","BALB/C","E+F+G+H",1,19.9,1
10577,"F","1XP","UNF","BL6F","Passaged","BL6intoBALB","BALB/C","E+F+G+H",1,22.9,1
10780,"F","1XP","UNF","BL6F","Passaged","BL6intoBALB","BALB/C","E+F+G+H",1,21.4,1
10784,"F","1XP","UNF","BL6F","Passaged","BL6intoBALB","BALB/C","E+F+G+H",1,22.5,1.03
10794,"F","1XP","UNF","BL6F","Passaged","BL6intoBALB","BALB/C","E+F+G+H",1,22.7,0.97
10576,"F","4X","UNF","BL6F","Passaged","BL6intoBALB","BALB/C","EFGH",1,21.6,1
10660,"F","4X","UNF","BL6F","Passaged","BL6intoBALB","BALB/C","EFGH",1,21.7,1
10681,"F","4X","UNF","BL6F","Passaged","BL6intoBALB","BALB/C","EFGH",1,24.1,0.99
10779,"F","4X","UNF","BL6F","Passaged","BL6intoBALB","BALB/C","EFGH",1,22.2,1
10783,"F","4X","UNF","BL6F","Passaged","BL6intoBALB","BALB/C","EFGH",1,21.3,1
10789,"F","4X","UNF","BL6F","Passaged","BL6intoBALB","BALB/C","EFGH",1,23.5,0.98
10453,"F","1X","FAM","BALBF","Passaged","HK68BALB","BALB/C","A",1,21.7,1
10563,"F","1X","FAM","BALBF","Passaged","HK68BALB","BALB/C","A",1,21.1,0.99
10362,"F","1X","FAM","BALBF","Passaged","HK68BALB","BALB/C","B",1,20.6,0.96
10618,"F","1X","FAM","BALBF","Passaged","HK68BALB","BALB/C","B",1,20.4,0.98
10633,"F","1X","FAM","BALBF","Passaged","HK68BALB","BALB/C","C",1,21.5,1
10628,"F","1X","FAM","BALBF","Passaged","HK68BALB","BALB/C","C",1,20.5,1.02
10567,"F","1X","FAM","BALBF","Passaged","HK68BALB","BALB/C","D",1,18.4,0.97
10638,"F","1X","FAM","BALBF","Passaged","HK68BALB","BALB/C","D",1,18.1,0.95
10328,"M","1X","FAM","BALBM","Passaged","HK68BALB","BALB/C","I",1,34.3,1
10579,"M","1X","FAM","BALBM","Passaged","HK68BALB","BALB/C","I",1,26.7,1.02
10290,"M","1X","FAM","BALBM","Passaged","HK68BALB","BALB/C","J",1,27.7,1
10666,"M","1X","FAM","BALBM","Passaged","HK68BALB","BALB/C","J",1,25.3,1.04
10568,"M","1X","FAM","BALBM","Passaged","HK68BALB","BALB/C","K",1,31.1,1.01
10614,"M","1X","FAM","BALBM","Passaged","HK68BALB","BALB/C","K",1,25.1,1.02
10587,"M","1X","FAM","BALBM","Passaged","HK68BALB","BALB/C","L",1,28.1,1.04
